street	intersections	agencies	number_violations
ALDUS	hoe|southern blvd	P	5
Aldus St	e/of faile st|n/of southern bl|e/of hoe ave|w/of faile st|w/of longfellow|n/of southern b|s/of faile st|w/of longfello|e/of southern b|w/of hoe ave|n/of hoe ave|n/of bryant ave|e/of bryant ave|e/of longfellow|e/of webster av|s/of longfellow|e/of southern bl|w/of whitlock av|e/of bryant av|s/of hoe ave|n/of bruckner b|w/of bryant ave	T	889
ALDUS ST	faile st|hoe ave|southern blvd	P	51
ALDUS STREET		P|S	39
ALEXANDER		P	53
Alexander Ave	w/of e 143rd st|w/of bruckner bl|n/of bruckner b|e/of e 134th st|s/of e 137th st|n/of bruckner bl|s/of e 134th st|n/of e 134th st|n/of e 135th st|n/of e 135th s|s/of e 140th st|s/of e 135th st|n/of e 142nd st|s/of e 143rd st|s/of e 142nd st|s/of bruckner b|s/of e 135th s	T	412
ALEXANDER AVE	e 137	P	223
Alexander Ave and Ea	st 135th|st 134th st|st 135th st	S	6
ALEXANDER AVENUE		S|P	723
ALLERTON		P	5
Allerton Ave	w/of holland av|e/of wallace ave|n/of matthews av|n/of matthews a|e/of paulding a|w/of cruger ave|w/of matthews a|w/of barker ave|w/of young ave|n/of cruger ave|w/of white plain|e/of bronxwood|w/of radcliff a|s/of bronxwood|e/of white plai|s/of fenton ave|e/of bronx park|w/of white plai|w/of yates ave|w/of bronxwood|n/of barker ave|n/of wallace av|w/of holland ave|s/of cruger ave|e/of bronxwood a|e/of holland av|e/of laconia a|e/of cruger ave|n/of young ave|s/of young ave|w/of williamsbr|w/of wallace ave|e/of laconia av|e/of olinville|w/of pearsall av|w/of boston rd|e/of white plain|e/of williamsbr|n/of white plain|e/of woodhull a|n/of bronxwood|w/of eastcheste|s/of wallace av|e/of barker ave|e/of lacombe av|n/of barnes ave|n/of seymour ave	T	3958
ALLERTON AVE	tenbrock ave|young ave|i/o barker ave|c/o barker ave|e gun hill rd|i/o bronx pk e|eastchester rd	P|T	94
ALLERTON AVENUE		P|S	1590
Amethyst St	w/of morris park|s/of sagamore s|s/of rhinelande|e/of rhinelander|w/of sagamore s|n/of rhineland|n/of morris par|n/of rhinelander|s/of sagamore st|s/of rhinelander|n/of rhinelande|s/of sagamore|n/of morris park	T	346
AMETHYST STREET		S|P	78
Ampere Ave	s/of ohm ave|s/of stadium ave	T	46
AMSTERDAM AVE		P	4
Amundson Ave	e/of strang ave|n/of strang ave	T	46
AMUNDSON AVE		P	11
ANDERSON		P	13
Anderson Ave	n/of shakespeare|s/of w 162nd st|s/of w 179th st|n/of jerome ave|north|n/of w 165th st|s/of shakespeare|s/of shakespear|n/of w 167th st|n/of e 165th s|n/of w 166th st|s/of w 164th st|s/of w 165th st|s/of w 176th st|n/of w 176th st|w/of shakespeare|n/of w 164th st|south|s/of w 166th st|s/of w 167th st	T	1283
ANDERSON AVE	e 166 st	P	348
ANDERSON AVENUE		P|S	140
ANDREWS		P	13
Andrews Ave	s/of w 176th st|s/of e 179th st|w/of w 176th st|n/of e 183rd st|s/of w 180th s|n/of w 176th st|w/of loring pl|s/of hall of fam|s/of w fordham|s/of w 180th st|n/of tenney pl|e/of w 179th st|w/of e 176th st|s/of e 183rd st|n/of w 175th st|s|n/of w 179th st|w/of hall of fam|n/of hall of f|s/of w 175th st|w/of w tremont a|sputh|e/of e 179th st|n/of w 180th st|s/of clinton av|s/of e 176th st|andrews ave s|e/of hall of f|south|n/of w 183rd st|n|n/of e 179th st|w/of e 183rd st|n/of w tremont|north|e/of w 180th st|s/of w 183rd st|s/of w burnside|n/of hall of fam|s/of w 179th st|s/of w 176th s|s/of w fordham r|s/of w tremont a|n/of hall of fa|s/of tenney pl|e/of w fordham|s/of w tremont|n/of w tremont a|directly in front of|soith|w/of w 176th s|andrews avenue south|s/of w 183rd s|e/of tenney pl|s/of e 176th s|s/of w 175th s|w/of hall of fa|e/of w 176th st|s/of w 165th st|n/of e 180th st|w/of e tremont a|n andrews ave|e/of w 175th st|soutr|s/of hall of fa|e/of w 183rd st|w/of w 183rd st|n/of w burnside	T	5711
ANDREWS AVE	w 183 st|hall of fame terrace|hall of fame ter|w 183 street|hall of fame	P	303
ANDREWS AVE N		P	15
ANDREWS AVE S		P	11
ANDREWS AVENUE		P|S	244
ANDREWS AVENUE SOUTH		S|P	38
ANTHONY		P	9
Anthony Ave	n/of e 149th s|intersection of clay|e/of e 180th st|s/of e 176th st|n/of e 180th st|n/of prospect pl|n/of e burnsid|n/of e tremont|s/of e burnside|n/of e 181st st|n/of e 173rd st|n/of e 175th st|s/of mount hope|s/of belmont st|e/of mount hope|e/of e 178th st|w/of prospect pl|n/of echo pl|s/of e 179th st|w/of e tremont a|s/of e tremont a|n/of belmont a|s/of e 178th s|s/of prospect|n/of e 179th st|n/of e 176th st|s/of e 173rd st|n/of e burnside|s/of e 175th st|s/of e 178th st|s/of e tremont|n/of e 178th st|n/of prospect p|s/of e 180th st|s/of echo pl|s/of e 174th st|e/of e 176th st|n/of e 180th s|n/of e 173rd s|n/of e tremont a|n/of bush st|s/of e 181st st|w/of e 178th st|intesection of clay|s/of clay ave|median lane|e/of clay ave|n/of e 149th st|n/of mount hope|south|n/of belmont st|w/of e 180th st|e/of prospect a|w/of e 176th st|e/of grand conc|s/of prospect p|by the ramp corner s|s/of e 173rd s	T	2844
ANTHONY AVE		P	45
ANTHONY AVENUE		S|P	350
Anthony J Griffin Pl	s/of e 149th st|s/of e 150th st|n/of e 149th st|e/of walton ave	T	25
Antin Pl	e/of holland ave|w/of barnes ave|s/of bronxdale a|e/of bronxdale a|s/of wallace av|bronxdale|s/of brady ave|n/of wallace ave|s/of sagamore|n/of holland av|s/of bronxdale|e/of grand conc|n/of holland ave|e/of brady ave|n/of wallace av|n/of brady ave|w/of wallace av|e/of wallace ave|e/of wallace av|e/of holland av|s/of holland av|n/of bronxdale a|w/of wallace ave|w/of holland av|n/of bronxdale|w/of bronxdale|e/of bronxdale|w/of bronxdale a|s/of lydig ave|w/of brady ave|s/of wallace a|s/of holland ave|s/of wallace ave|w/of wallace a|s/of holland a	T	438
ANTIN PL	wallace ave	P	4
Aqueduct Ave	n/of w 183rd st|s/of buchanan pl|s/of w 180th st|w/of w 188th st|s/of buchanan p|s/of evelyn pl|s/of clinton pl|e/of w 181st st|w/of w 192nd st|n/of w 182nd st|s/of e 192nd st|n/of buchanan pl|n/of buchanan p|n/of w 190th st|s/of w kingsbri|n/of clinton p|n/of w kingsbr|n/of clinton pl|e|s/of e 184th st|w/of w kingsbr|n/of e 182nd st|n/of e 192nd st|s/of w 183rd s|s/of w 184th st|s/of e 183rd st|w/of e 183rd st|s/of w 182nd st|west|e/of buchanan p|s/of e 190th st|e/of buchanan pl|w/of w 193rd st|n/of w 180th st|w/of e 181st st|w/of north st|w/of clinton pl|s/of w 190th st|east|n/of clifford p|n/of w 192nd st|w|s/of w 181st st|s/of north st|s/of w 192nd st|n/of w 181st st|w/of e kingsbri|n/of w kingsbri|n/of w 188th st|s/of w 183rd st|n/of e 183rd st|n/of w 184th st|n/of north st|n/of w 183rd s|n/of evelyn pl|e/of clinton pl|s/of w tremont a|s/of w kingsbr|e/of w 190th st|w/of w 190th st|w/of evelyn pl|e/of w kingsbri|s/of w kingsbrid|s/of w 188th st|e/of w 192nd st|n/of e 181st st|e/of north st|n/of e 190th st|e/of w 188th st|e/of w 182nd st|w/of buchanan pl|w/of e 182nd st|10' north of posted|n/of w 192nd s|e/of w 184th st|s/of e 182nd st|n/of w 180th s	T	1698
AQUEDUCT AVE		P	11
AQUEDUCT AVENUE		P|S	182
AQUEDUCT AVENUE EAST		S	26
AQUEDUCT AVENUE WEST		S	9
Archer Rd	s/of unionport|s/of guerlain s|s/of unionport r|n/of guerlain s|w/of metropolita|n/of guerlain st|n/of leland ave	T	25
Archer St	w/of thieriot av|w/of leland ave|e/of thieriot a|e/of white plain|w/of white plai|e/of leland ave|n/of thieriot av|n/of thieriot a|w/of white plain|n/of beach ave|w/of thieriot a|s/of thieriot a|w/of taylor ave|e/of taylor ave|s/of taylor ave|e/of thieriot av|s/of thieriot|e/of white plai	T	1039
ARLINGTON	delafield	P	4
