street	intersections	agencies	number_violations
1st Pl	e/of battery pl|e/of battery p|e/of south end|w/of west st|w/of little we|w/of little west|n/of battery pl|e/of little we|n/of little west|w/of battery pl|s/of e 108th st|n/of little wes|w/of avenue a|s/of e 100th st|w/of little wes|e/of little wes|n/of e 102nd st|s/of e 103rd st|s/of little wes|n/of e 101st st|w/of ludlow st|n/of e 96th st	T	517
2 AVE		P	112
2 AVENUE		P|S	85
207 St		T	21
207 ST	post ave	P	10
207 STREET		P	4
23 AVE		P	5
2nd Ave	n/of e 11th st|s/of e 42nd st|s/of e 17th st|n/of e 112th st|n/of e 65th st|s/of e 123rd st|n/of e 41st st|e/of e 110th st|s/of e 86th st|n/of e 84th st|n/of e 86th st|n/of e 74th st|s/of e 65th st|n/of e 88th st|s/of e 99th st|n/of e 26th st|n/of e 23rd st|n/of e 32nd st|n/of e 119th st|s/of e 2nd st|n/of e 77th st|s/of e 62nd st|s/of e 83rd st|s/of e 97th st|n/of e 42nd st|s/of e 23rd st|service rd|n/of e 81st st|s/of e 4th st|s/of e 112th st|n/of e 66th st|w/of e 60th st|s/of e 32nd st|s/of e 16th st|s/of e 115th st|w/of e 79th st|n/of e 30th st|n/of e 7th st|s/of e 5th st|n/of e 37th st|e/of e 42nd st|w/of e 40th st|s/of e 94th st|s/of e 28th st|s/of e 1st st|n/of e 16th st|n/of e 51st st|s/of e 26th st|s/of e 126th st|s/of e 91st st|n/of e 72nd st|n/of e 55th st|n/of e 6th st|s/of e 108th st|e/of e 28th st|n/of e 113th st|n/of e 4th st|n/of st marks p|e/of e 73rd st|e/of e 87th st|n/of e 83rd st|w/of e 121st st|n/of w 70th st|s/of e 108th s|n/of e 95th st|w/of e 63rd st|s/of e 81st st|e/of e 43rd st|s/of st marks pl|n/of e 68th st|n/of e 33rd st|w/of e 53rd st|service  rd|service rd wside|service road e side|service road w side|n/of e 21st st|n/of e 91st st|service road west si|s/of e 20th st|seevice rd|n/of e 102nd st|s/of e 105th st|n/of e 120th st|s/of w 190th st|n/of e 104th st|s/of e 111th st|s/of e 109th st|s/of e 77th st|s/of w 14th st|s/of e 113th s|s/of e 90th st|e/of battery pl|s/of e 110th st|n/of w 34th st|n/of e 22nd st|s/of e 113th st|turning lane|w/of e 73rd st|n/of e 125th st|s/of e 117th st|s/of e 107th st|n/of e 19th st|n/of e 109th st|servic road|n/of e 67th st|n/of e 40th st|n/of e 52nd st|s/of e 68th st|e/of e 40th st|sr|n/of e 76th st|s/of e 18th st|n/of e 17th st|n/of e 43rd st|n/of e 29th st|s/of e 46th st|s/of e 52nd st|n/of e 87th st|s/of e 80th st|s/of e 47th st|s/of e 3rd st|service road|n/of e 28th st|n/of e 64th st|n/of e 31st st|s/of e 7th st|s/of e 71st st|n/of e 12th st|s/of e 93rd st|n/of e 20th st|n/of e 44th st|s/of e 27th st|n/of e 92nd st|s/of e 21st st|n/of e 94th st|n/of e 93rd st|s/of e 92nd st|s/of e 53rd st|n/of e 13th st|n/of e 45th st|s/of e 14th st|n/of e 79th st|s/of e 106th st|s/of e 64th st|s/of e 102nd st|s/of e 48th st|n/of e 99th st|s/of e 103rd st|s/of e 121st st|s/of e 11th st|s/of e 76th st|s/of e 74th st|s/of e 84th st|n/of e 90th st|n/of e 78th st|n/of e 71st st|n/of e 82nd st|n/of e 35th st|n/of e 111th st|e/of e 27th st|s/of e 122nd st|s/of e 38th st|n/of e 46th st|n/of e 24th st|e/of e 1st st|n/of e 63rd st|w/of e 70th st|s/of e 45th st|s/of e 69th st|n/of e 115th st|n/of e 50th st|n/of e 85th st|n/of e 73rd st|n/of e 49th st|s/of e 24th st|s/of e 101st st|n/of e 125th s|s/of e 31st st|n/of stanton st|w/of e 86th st|n/of w 15th st|s/of e 50th st|s/of e 49th st|s/of e 57th st|s/of e 25th st|s/of e 51st st|s/of e 104th st|n/of e 101st st|n/of e 38th st|service rd e side|n/of e 105th st|n/of e 108th st|s/of e 78th st|s/of e 116th st|w/of e 11th st|close to crosswalk|n/of e 54th st|e/of e 121st st|w/of e 74th st|s/of e 59th st|n/of w 75th st|n/of w 67th st|n/of e 107th st|37 and half|s/of e 95th st|n/of e 36th st|s/of e 119th st|n/of w 77th st|service r|n/of w 121st st|w/of 2nd pl|2nd|east side service ro|n/of w 68th st|n/of e 110th st|n/of e 9th st|s/of e 79th st|n/of e 69th st|s/of e 66th st|n/of e 2nd st|s/of e 63rd st|n/of e 5th st|s/of e 73rd st|s/of e 87th st|n/of e 70th st|n/of e 80th st|s/of e 70th st|n/of e 27th st|n/of e 89th st|s/of e 12th st|n/of e 14th st|s/of e 96th st|n/of e 98th st|s/of e 15th st|n/of e 1st st|n/of e 10th st|n/of e 15th st|s/of e 13th st|n/of e 25th st|n/of e 47th st|n/of w 191st st|s/of e 30th st|s/of e 44th st|w/of e 29th st|e/of e 26th st|n/of e 18th st|s/of e 85th st|s/of e 29th st|s/of e 118th st|n/of e 97th st|s/of e 40th st|e/of e 52nd st|n/of e 121st st|s/of st marks p|s/of e 115th s|s/of e 88th st|s/of e 67th st|s/of e 100th st|s/of e 33rd st|s/of e 61st st|s/of e 39th st|s/of w 39th st|n/of e 75th st|s/of e 10th st|n/of e 106th st|s/of e 98th st|n/of e 3rd st|s/of e 6th st|e/of e 2nd st|s/of e 114th st|n/of e 53rd st|n/of e 48th st|w/of e 2nd st|s/of e 120th st|e/of e 96th st|s/of e 43rd st|s/of e 9th st|n/of e 39th st|n/of e 106th s|s/of e 82nd st|n/of e 96th st|n/of e 60th st|s/of e 72nd st|n/of e 100th st|s/of e 75th st|service road w|servixe road w side|e/of e 15th st|e 75 st|e/of e 72nd st|sercice rd w|e side servicevroad|servuce rd|s/of e 34th st|e/of e 80th st|n/of e 113th s|w/of e 5th st|n/of e 103rd st|s/of e 123rd s|w/of avenue a|e/of e 84th st|n/of e 123rd st|s/of e 41st st|s/of e 106th s|n/of st marks pl|n/of e 122nd st|w/of e 65th st|e/of e 77th st|w/of e 99th st|n/of e 103rd s|n/of e 118th st|s/of e 35th st|n/of e 116th st|s/of 10th ave	T	49621
2ND AVE		P|T	54
2ND AVENUE		P	22
2nd Pl	w/of little wes|n/of e 4th st|n/of e 9th st|w/of west st|e/of little wes|w/of battery pl|e/of battery pl|n/of battery pl|e/of battery p|w/of little west	T	202
3 AVE	e 97 st|e 59 st	P	214
3 AVENUE		S|P	739
