street	intersections	agencies	number_violations
104th Rd	e/of 183rd pl|e/of 212th st|w/of 164th pl|e/of 164th st|w/of 212th st	T	44
104th St	s/of liberty ave|s/of 38th ave|n/of jamaica ave|n/of 88th ave|e/of alstyne av|s/of 90th ave|n/of 47th ave|n/of 89th ave|s/of 92nd ave|n/of rockaway b|n/of roosevelt|n/of jamaica av|e/of 32nd ave|s/of 46th ave|n/of 43rd ave|n/of 85th ave|s/of atlantic a|s/of 239th st|s/of 37th dr|n/of roosevelt a|n/of corona ave|e/of 41st ave|s/of corona ave|s/of 101st ave|n/of 101st ave|s/of 44th ave|e/of 37th ave|s/of alstyne av|s/of 103rd st|s/of 95th st|e/of nicolls ave|n/of 34th ave|n/of 48th ave|s/of 86th ave|w/of jamaica av|s/of 95th ave|n/of 32nd ave|n/of alstyne ave|n/of astoria bl|s/of 48th ave|s/of 32nd ave|s/of 107th ave|n/of nicolls av|s/of 85th ave|n/of st nicholas|n/of 103rd ave|n/of 107th ave|e/of national s|n/of 49th ave|n/of 44th ave|n/of 37th ave|n/of 37th dr|s/of roosevelt|n/of alstyne av|n/of liberty av|s/of liberty av|s/of 45th ave|n/of 90th ave|n/of 91st ave|n/of 41st ave|s/of 37th rd|s/of 39th ave|s/of 41st ave|s/of astoria bl|n/of 45th ave|s/of northern b|w/of astoria bl|n/of atlantic av|s/of jamaica ave|n/of northern b|n/of 95th ave|n/of liberty ave|s/of 94th ave|n/of 42nd ave|s/of jamaica av|s/of 37th ave|s/of 47th ave|w/of 41st ave|w/of 71st ave|n/of 39th ave|n/of nicolls ave|n/of 94th ave|s/of northern bl|n/of 38th ave|n/of liberty a|s/of astoria blv|s/of 35th ave|n/of northern bl|s/of 42nd ave|n/of 102nd st|s/of 103rd ave|n/of 97th ave|n/of martense av|w/of 85th rd|s/of 97th ave|n/of rockaway bl|s/of nicolls av|w/of northern bl|n/of 46th ave|s/of rockaway b|s/of roosevelt a|w/of liberty av|w/of 107th ave|w/of liberty ave|w/of northern b|n/of martense a|n/of 86th ave|e/of atlantic a|s/of 102nd st	T	7374
104TH ST		P	5
105 AVE		P	77
105 AVENUE		P|S	8
105 ST	101 ave	P	104
105 STREET		P|S	92
105th Ave	w/of 171st st|w/of 150th st|w/of liverpool|e/of 135th st|s/of 133rd st|e/of 169th st|e/of 217th ln|w/of 193rd st|n/of liberty av|w/of remington s|n/of van wyck e|e/of pinegrove s|e/of sutphin blv|w/of 170th st|e/of 177th st|w/of 148th st|e/of 172nd st|e/of waltham st|w/of inwood st|e/of inwood st|w/of 160th st|w/of 142nd st|w/of sutphin bl|e/of 134th st|e/of 150th st|w/of sutphin b|e/of 133rd st|w/of sutphin blv|w/of 133rd st|s/of 133rd rd|e/of 225th st|n/of liverpool s|w/of 180th st|e/of 173rd st|w/of 177th st|w/of van wyck e|s/of sutphin bl|e/of 180th st|w/of pinegrove s|e/of sutphin bl|w/of 134th st|e/of liverpool s|e/of 148th st|w/of waltham st|w/of 135th st|e/of liverpool|e/of merrick bl|s/of inwood st|w/of 221st st|w/of 172nd st|n/of merrick bl|w/of 169th st|w/of nb van wyc|e/of farmers bl|n/of 135th st|w/of liverpool s	T	868
105th Pl	s/of jamaica av|n/of 93rd ave|n/of 103rd dr|s/of 103rd rd|s/of 34th ave	T	9
105th St	w/of 107th ave|n/of martense a|n/of jamaica wal|n/of 34th ave|s/of rockaway b|n/of 92nd ave|s/of 101st ave|n/of 85th ave|s/of 92nd ave|e/of 92nd ave|n/of 107th st|n/of jamaica a|s/of 111th ave|s/of 95th ave|s/of liberty av|n/of liberty ave|s/of 35th ave|n/of martense av|e/of 93rd ave|n/of 103rd st|n/of northern b|w/of sutter ave|s/of ditmars bl|n/of 97th ave|n/of 43rd ave|n/of liberty av|s/of northern b|s/of 34th ave|s/of 107th ave|n/of 101st rd|s/of astoria bl|n/of 37th ave|n/of jamaica av|s/of 101st rd|s/of 32nd ave|s/of liberty ave|s/of astoria blv|s/of roosevelt|s/of 86th ave|n/of 32nd ave|s/of jamaica av|n/of 35th ave|n/of 93rd ave|s/of 103rd ave|s/of 85th ave|n/of 101st ave|n/of northern bl|e/of jamaica av|e/of 34th ave|s/of jamaica ave|n/of jamaica ave|w/of liberty av|e/of farmers bl|s/of sutter ave|e/of 37th ave|e/of northern bl|s/of northern bl|n/of rockaway bl|e/of rockaway bl|n/of 107th ave|e/of astoria blv|n/of 95th ave	T	2370
106 AVE	sutphin blvd	P	73
106 AVENUE		S|P	11
106 ST	astoria blvd|i/o horace harding	P	147
106 STREET		S|P	79
106th Ave	w/of 148th st|e/of sutphin blv|e/of nb van wyck|e/of 216th st|w/of 142nd st|n/of waltham st|e/of waltham st|s/of liverpool s|w/of 227th st|s/of 109th ave|e/of 221st st|e/of liverpool s|e/of princeton|w/of princeton|w/of liverpool s|e/of 227th st|e/of liverpool|e/of 217th st|w/of waltham st|w/of pinegrove s|n/of 169th st|w/of pinegrove|e/of inwood st|w/of springfie|w/of inwood st|e/of 169th st|s/of 180th st|e/of sutphin bl|e/of 217th pl|e/of 177th st|e/of princeton s|e/of 215th st|w/of 169th st|w/of liverpool|w/of sutphin blv|w/of 221st st|s/of princeton|w/of 177th st	T	496
106th Rd	w/of ruscoe st|e/of ruscoe st|w/of 180th st|n/of 177th st|s/of 177th st|e/of 177th st|w/of 177th st	T	100
106th St	w/of 37th ave|s/of 101st ave|s/of 53rd ave|s/of northern b|n/of 97th ave|n/of martense a|n/of jamaica av|s/of 34th ave|s/of 32nd ave|s/of northern bl|s/of rockaway|w/of 101st ave|n/of astoria bl|n/of 94th ave|n/of 37th ave|w/of 97th ave|n/of 94th rd|n/of 101st ave|s/of astoria bl|n/of corona ave|s/of sutter ave|e/of 32nd ave|n/of 107th ave|e/of 107th ave|n/of liberty av|s/of astoria blv|s/of 109th ave|s/of park ln sou|s/of liberty av|s/of 86th ave|s/of 49th ave|s/of jamaica av|liberty ave|n/of martense av|s/of rockaway bl|n/of northern b|n/of 34th ave|s/of rockaway b|s/of 107th ave|s/of liberty ave|s/of jamaica ave|n/of liberty ave|s/of 95th ave|n/of jamaica ave|s/of rosita rd|s/of 97th ave|w/of northern bl|n/of 103rd ave|n/of northern bl|n/of sutter ave|n/of 32nd ave|n/of rockaway bl|s/of queens blv|s/of liberty ln|n/of 109th ave|e/of liberty av|n/of rockaway b|w/of astoria bl|w/of 107th ave|n/of 86th ave|s/of plattwood|n/of 95th ave	T	3003
107 AVE	113 st|126 st|124 street|van wyck exp|122 street|89 ave|waltham st|87 st	P	161
107 AVENUE	89 street	S|P	45
107 RD		P	4
107 ST	liberty ave|37 drive|muriel court|muriel ct	P	121
107 STREET	103 avenue|i/o liberty ave	P|S	109
107th Ave	e/of 124th st|w/of 220th st|n/of 155th st|e/of merrick bl|w/of 170th st|w/of jamaica ave|w/of 129th st|w/of van wyck e|s/of 34th ave|w/of 156th st|w/of 130th st|w/of 155th st|w/of remington|e/of guy r brewe|e/of 127th st|e/of 132nd st|e/of sutphin bl|e/of lefferts b|w/of 106th st|w/of merrick bl|w/of 108th st|e/of 159th st|e/of princeton s|e/of liverpool|w/of cross bay|n/of 104th st|e/of pinegrove|w/of 159th st|s/of merrick blv|w/of union hall|e/of 114th st|e/of 156th st|w/of merrick blv|s/of merrick b|e/of 112th st|e/of 109th st|e/of 134th st|e/of union hall|e/of 171st st|w/of princeton s|e/of 122nd st|w/of 123rd st|e/of 173rd st|e/of 89th st|e/of 116th st|s/of 91st st|w/of lefferts bl|s/of liverpool|e/of 107th st|e/of 110th st|e/of 105th st|w/of 112th st|w/of 111st st|w/of remington s|w/of 113th st|w/of guy r bre|w/of liberty ave|e/of 113th st|w/of 123rd ave|s/of 160th st|w/of 164th pl|e/of 88th st|w/of 160th st|w/of 134th st|w/of princeton|s/of 166th st|w/of 132nd st|dead end|e/of 165th st|e/of 150th st|e/of 221st st|e/of 93rd st|n/of 223rd st|e/of remington s|w/of liverpool s|e/of 87th st|e/of 133rd st|w/of 157th st|w/of 110th st|e/of 111th st|e/of 106th st|w/of 91st st|w/of inwood st|s/of liverpool s|e/of liverpool s|e/of 104th st|w/of 133rd st|e/of 155th st|w/of 150th st|w/of 142nd st|e/of inwood st|w/of 122nd st|e/of 97th st|e/of 123rd st|w/of 111th st|e/of 120th st|s/of 159th st|e/of waltham st|s/of merrick bl|w/of 166th st|w/of pinegrove|w/of 171st st|w/of jamaica av|s/of princeton s|w/of 154th st|w/of 105th st|s/of waltham st|e/of 121st st|e/of 118th st|s/of 110th st|w/of 104th st|w/of waltham st|e/of pinegrove s|e/of princeton|e/of 160th st|e/of 227th st|e/of sutphin blv|w/of 84th st|w/of guy r brew|w/of cross bay b|e/of springfiel|e/of 170th st|e/of henry ave|e/of 166th st|w/of 121st st|e/of 86th st|w/of 126th st|s/of 112th st|e/of 111st st|w/of 118th st|w/of nb van wyc|s/of pinegrove|w/of 86th st|w/of 89th st|e/of 220th st|w/of 164th st|n/of 37th ave|w/of 135th st|w/of 109th st|w/of liverpool|n/of 120th st|w/of 124th st|e/of 129th st|s/of 103rd ave|w/of 173rd st	T	1957
107th Rd	e/of 139th st|w/of 142nd st|e/of 142nd st|w/of 139th st	T	23
